stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
1862,SAN JACINTO ST @ CAPITOL ST,,29.757997,-95.361419,,
1863,SAN JACINTO ST @ CONGRESS ST,,29.760944,-95.359093,,
1864,SAN JACINTO ST @ COMMERCE ST,,29.762506,-95.357857,,
1876,FRANKLIN ST @ FANNIN ST,,29.762543,-95.35955,,
1878,PRESTON ST @ SMITH ST,,29.763596,-95.36499,,
1891,WALKER ST @ CAROLINE ST,,29.756136,-95.361587,,
1892,WALKER ST @ SAN JACINTO ST,,29.756639,-95.362416,,
1893,WALKER ST @ FANNIN ST,,29.757155,-95.363266,,
1894,WALKER ST @ MAIN ST,,29.757689,-95.364159,,
1895,WALKER ST @ TRAVIS ST,,29.758216,-95.365036,,
1896,WALKER ST @ MILAM ST,,29.758735,-95.365906,,
1897,WALKER ST @ MILAM ST,,29.758982,-95.36631,,
1898,WALKER ST @ SMITH ST,,29.759783,-95.367622,,
1899,SAN JACINTO ST @ LEELAND ST,,29.751282,-95.366753,,
1900,ELGIN ST @ LOUISIANA ST,,29.743147,-95.379414,,
1901,LOUISIANA ST @ WEBSTER ST,,29.749403,-95.374632,,
1902,PIERCE ST @ CHENEVERT ST,,29.745327,-95.364151,,
1903,ST JOSEPH PKWY @ CHENEVERT ST,,29.746074,-95.363182,,
1904,ST JOSEPH PKWY @ CRAWFORD ST,,29.747117,-95.364922,,
1905,ST JOSEPH PKWY @ CAROLINE ST,,29.748661,-95.367485,,
1906,ST JOSEPH PKWY @ SAN JACINTO ST,,29.749179,-95.368339,,
1907,ST JOSEPH PKWY @ FANNIN ST,,29.749692,-95.369194,,
1908,ST JOSEPH PKWY @ MAIN ST,,29.750167,-95.370011,,
1909,ST JOSEPH PKWY @ TRAVIS ST,,29.750755,-95.370956,,
1916,DALLAS ST @ SMITH ST,,29.757546,-95.369738,,
1917,LAMAR ST @ BRAZOS ST,,29.758786,-95.369646,,
1920,GRAY ST @ BRAZOS ST,,29.751324,-95.375541,,
1925,ST JOSEPH PKWY @ LA BRANCH ST,,29.747624,-95.365776,,
1926,ST JOSEPH PKWY @ AUSTIN ST,,29.74814,-95.366623,,
1927,ST JOSEPH PKWY @ LOUISIANA ST,,29.751742,-95.372607,,
1928,JEFFERSON ST @ SMITH ST,,29.753049,-95.373239,,
1933,DALLAS ST @ BRAZOS ST,,29.75808,-95.3706,,
1934,DALLAS ST @ LOUISIANA ST,,29.75707,-95.368942,,
1935,DALLAS ST @ MILAM ST,,29.756537,-95.36806,,
1936,DALLAS ST @ TRAVIS ST,,29.756007,-95.367172,,
1937,DALLAS ST @ MAIN ST,,29.755485,-95.366298,,
1938,LAMAR ST @ CAROLINE ST,,29.75463,-95.362755,,
1939,LAMAR ST @ SAN JACINTO ST,,29.755142,-95.363601,,
1940,LAMAR ST @ FANNIN ST,,29.755666,-95.364464,,
1941,LAMAR ST @ MAIN ST,,29.7562,-95.365349,,
1942,LAMAR ST @ TRAVIS ST,,29.756732,-95.366226,,
1943,LAMAR ST @ MILAM ST,,29.757239,-95.367068,,
1944,LAMAR ST @ LOUISIANA ST,,29.757774,-95.367957,,
1945,LAMAR ST @ SMITH ST,,29.758285,-95.368807,,
1946,SAN JACINTO ST @ PIERCE ST,,29.748131,-95.369255,,
1947,COKE   @ FINNIGAN PARK PLACE CT,,29.767982,-95.32165,,
1948,COKE@FINNIGAN PARK PLACE CT,,29.7679,-95.31903,,
1949,CALLES ST @ ARAPAHOE ST,,29.770944,-95.31733,,
1950,CALLES ST @ MARKET ST,,29.77242,-95.31736,,
1951,MARKET ST @ LOCKWOOD DR,,29.772587,-95.315895,,
1952,NAVIGATION BLVD @ JENSEN DR,NAVIGATION BLVD & RUNNELS ST,29.759176,-95.346504,,
1953,CLINTON DR @ JENSEN DR,,29.76457,-95.34222,,
1954,CLINTON DR @ MEADOW ST,,29.764631,-95.339531,,
1955,CLINTON DR @ BAYOU ST,,29.76466,-95.33758,,
